2023-05-26T10:21:16.747106,locatie,Insert
2023-05-26T10:21:36.709326300,locatie,Insert
2023-05-26T10:22:31.448425400,locatie,Insert
2023-05-26T10:23:26.395942300,locatie,Insert
2023-05-26T10:24:45.499460500,locatie,Insert
2023-05-26T10:25:17.285215600,locatie,Insert
2023-05-26T10:26:53.543913100,locatie,Insert
2023-05-26T10:28:29.227727300,locatie,Insert
2023-05-26T10:33:19.998536500,locatie,Insert
2023-05-26T10:42:52.057655200,locatie,insert
2023-05-26T10:42:52.084091500,locatie,update
2023-05-26T10:42:52.092175800,Factura,update
2023-05-26T10:42:52.102910900,Factura,delete
2023-05-26T10:42:56.438543200,furnizor,insert
2023-05-26T10:42:56.448672400,furnizor,update
2023-05-26T10:42:56.458783100,client,insert
2023-05-26T10:42:56.503457400,client,read
2023-05-26T10:42:56.512536800,client,update
2023-05-26T10:42:56.520687500,client,delete
2023-05-26T10:44:28.299804800,locatie,insert
2023-05-26T10:44:28.313016900,locatie,update
2023-05-26T10:44:28.323241300,Factura,update
2023-05-26T10:44:28.331865100,Factura,delete
2023-05-26T10:44:31.354799500,furnizor,insert
2023-05-26T10:44:31.361948900,furnizor,update
2023-05-26T10:44:31.384099800,client,insert
2023-05-26T10:44:31.435476700,client,read
2023-05-26T10:44:31.445606400,client,update
2023-05-26T10:44:31.455749900,client,delete
2023-05-26T10:45:08.009145300,locatie,insert
2023-05-26T10:45:08.019330,locatie,update
2023-05-26T10:45:08.027444100,Factura,update
2023-05-26T10:45:08.036199,Factura,delete
2023-05-26T10:45:12.939670500,furnizor,insert
2023-05-26T10:45:12.947799300,furnizor,update
2023-05-26T10:45:12.962983300,client,insert
2023-05-26T10:45:13.006546400,client,read
2023-05-26T10:45:13.016726100,client,update
2023-05-26T10:45:13.024894100,client,delete
2023-05-26T10:48:06.610242100,locatie,insert
2023-05-26T10:48:06.620418500,locatie,update
2023-05-26T10:48:06.629555300,Factura,update
2023-05-26T10:48:06.636651700,Factura,delete
2023-05-26T10:48:08.597758500,furnizor,insert
2023-05-26T10:48:08.605910800,furnizor,update
2023-05-26T10:48:08.617042,client,insert
2023-05-26T10:48:08.657506900,client,read
2023-05-26T10:48:08.665671200,client,update
2023-05-26T10:48:08.673737100,client,delete
2023-05-26T10:48:55.789438,locatie,insert
2023-05-26T10:48:55.800582100,locatie,update
2023-05-26T10:48:55.808693300,Factura,update
2023-05-26T10:48:55.816792900,Factura,delete
2023-05-26T10:48:59.403516200,furnizor,insert
2023-05-26T10:48:59.411579300,furnizor,update
2023-05-26T10:48:59.423769300,client,insert
2023-05-26T10:48:59.469116500,client,read
2023-05-26T10:48:59.477264900,client,update
2023-05-26T10:48:59.485377800,client,delete
2023-05-26T10:50:17.159620200,locatie,insert
2023-05-26T10:50:17.171819200,locatie,update
2023-05-26T10:50:17.180955200,Factura,update
2023-05-26T10:50:17.190056,Factura,delete
